name,carrier,bus,p_nom_min,p_nom,p_nom_extendable,efficiency,marginal_cost,capital_cost,p_nom_max,weight,control,p_max_pu,p_nom_opt
KE0 0 oil,oil,KE0 0,116.9,116.9,False,0.35,157.5337915060388,45593.58829043868,inf,1.0,Slack,1.0,116.9
KE0 0 onwind,onwind,KE0 0,10.40199033861237,10.40199033861237,True,1.0,0.02579263095412448,210505.9951775678,51907.736706429394,6375.090189517532,,1.0,10.401990583129134
KE0 0 solar,solar,KE0 0,14.630907507702167,14.630907507702167,True,1.0,0.019380257209363608,44916.77823784627,59850.25274497422,9219.282244842256,,0.9999999999999999,14.630925616076333
KE0 1 oil,oil,KE0 1,85.0,85.0,False,0.35,157.53328383788124,45593.58829043868,inf,1.0,,1.0,85.0
KE0 1 onwind,onwind,KE0 1,35.29463325708808,35.29463325708808,True,1.0,0.025033682620371804,210505.9951775678,119953.12951693468,23077.531353781884,,1.0,35.2946339619357
KE0 1 solar,solar,KE0 1,31.6671581724207,31.6671581724207,True,1.0,0.019138502810520333,44916.77823784627,130157.17526675518,19959.35574806291,,1.0,31.667169783394748
KE0 10 onwind,onwind,KE0 10,4.165824014106283,4.165824014106283,True,1.0,0.02551664063156824,210505.9951775678,34022.05702760311,2284.834601134775,,1.0,4.165825106612748
KE0 10 solar,solar,KE0 10,10.330230394265678,10.330230394265678,True,1.0,0.020608893260563733,44916.77823784627,39078.37834074447,6506.34044643936,,1.0,10.330457004971256
KE0 11 onwind,onwind,KE0 11,35.80187697300289,35.80187697300289,True,1.0,0.025784297873280505,210505.9951775678,154065.37447228841,17081.801134697587,,1.0,35.801877621470965
KE0 11 solar,solar,KE0 11,58.91283553346489,58.91283553346489,True,1.0,0.01910228999189938,44916.77823784627,217519.4383242252,37102.71948720786,,1.0,58.91286112395066
KE0 12 onwind,onwind,KE0 12,2.376115964058065,2.376115964058065,True,1.0,0.024692680682985614,210505.9951775678,29505.53856282893,1261.2831609002071,,1.0,2.376118962756245
KE0 12 solar,solar,KE0 12,10.998189855328949,10.998189855328949,True,1.0,0.02026030450633768,44916.77823784627,44439.49718964902,6929.134816845067,,1.0,10.998219750818537
KE0 2 geothermal,geothermal,KE0 2,316.5,316.5,True,1.0,0.15098888489246998,381715.1846632933,inf,4.0,,1.0,672.7022098406835
KE0 2 oil,oil,KE0 2,60.0,60.0,False,0.35,157.53304909557627,45593.58829043868,inf,1.0,,1.0,60.0
KE0 2 onwind,onwind,KE0 2,5.885759271840603,5.885759271840603,True,1.0,0.024382026388508452,210505.9951775678,178794.7255924057,3260.3942405946823,,1.0,5.885763000298111
KE0 2 ror,ror,KE0 2,0.0,173.44478695616053,False,0.9,0.010043642552691702,372264.3429108993,inf,173.44478695616053,,1.0,173.44478695616053
