,KE0 0 battery charger,KE0 1 battery charger,KE0 2 battery charger,KE0 3 battery charger,KE0 4 battery charger,KE0 5 battery charger,KE0 6 battery charger,KE0 7 battery charger,KE0 8 battery charger,KE1 0 battery charger,KE0 0 battery discharger,KE0 1 battery discharger,KE0 2 battery discharger,KE0 3 battery discharger,KE0 4 battery discharger,KE0 5 battery discharger,KE0 6 battery discharger,KE0 7 battery discharger,KE0 8 battery discharger,KE1 0 battery discharger
0,-1.1048040801585398e-09,-1.1064003665550833e-09,-1.1075657628179995e-09,-1.0974630017241298e-09,-1.1072157381254384e-09,-1.1058369903549819e-09,-1.1101632705727005e-09,-1.106369570078151e-09,-1.1076648448562603e-09,-6.781555234895065e-10,-1.2048723081597737e-09,-1.2025405349086165e-09,-1.2013172050403584e-09,-1.2140856280147515e-09,-1.202050999202168e-09,-1.203725475881076e-09,-1.1980747390959621e-09,-1.2029703615171444e-09,-1.2009841875808104e-09,-49.490595609424794
1,-1.1048069898479424e-09,-1.1064016859370285e-09,-1.1075679298391128e-09,-1.0974746262680432e-09,-1.1072177921103436e-09,-1.1058377991739527e-09,-1.1101694695904505e-09,-1.1063710293048587e-09,-1.1076704584264013e-09,-6.781555230217481e-10,-1.2048733034195303e-09,-1.2025417282932535e-09,-1.2013168192831868e-09,-1.2140846867671488e-09,-1.2020524206809194e-09,-1.2037242438316252e-09,-1.198076527306318e-09,-1.2029715504407569e-09,-1.2009846392088734e-09,-42.562604736506685
2,-1.1047518330608797e-09,-1.1063418123265902e-09,-1.107545630869987e-09,-1.0974052567552643e-09,-1.1071682908945715e-09,-1.1057969231360714e-09,-1.1101417381489736e-09,-1.106312359541599e-09,-1.1076434734999278e-09,-92.7388321219441,-1.2048862184910378e-09,-1.2025473419289255e-09,-1.2013481067155144e-09,-1.2141076214286038e-09,-1.2020565948793618e-09,-1.2037556383006215e-09,-1.1980850832561327e-09,-1.2029767452114038e-09,-1.2010101688695951e-09,-7.064120170366766e-10
3,-1.0999869342356412e-09,-1.1020360284766664e-09,-1.1041061457620808e-09,-1.0904304573407666e-09,-1.103138442671838e-09,-1.1015729729630083e-09,-1.106594373466146e-09,-1.1020883581507885e-09,-1.1033592159726272e-09,-103.17953024792418,-1.2179465937288851e-09,-1.2158373856813344e-09,-1.2145332118012478e-09,-1.2276635239629039e-09,-1.2150426681402892e-09,-1.2164251522272614e-09,-1.2116985862258853e-09,-1.2161939305012636e-09,-1.2134977118862033e-09,-5.553094873452307e-11
4,-1.104760169561593e-09,-1.1063623619756366e-09,-1.1076074503186007e-09,-1.0974505700413423e-09,-1.1071837423974929e-09,-1.1058817119185405e-09,-1.1102053343291315e-09,-1.1063311342820476e-09,-1.107718497208463e-09,-102.08377266327784,-1.2052788134946924e-09,-1.2029623895210757e-09,-1.2018440211158433e-09,-1.2146501667984416e-09,-1.2024541873158032e-09,-1.2042002282876534e-09,-1.198610651000377e-09,-1.2033850140407918e-09,-1.2014311124421892e-09,-7.064120939909804e-10
5,-1.104877792204295e-09,-1.1064704712538948e-09,-1.107611015929619e-09,-1.0975402512076427e-09,-1.1072819620020604e-09,-1.1058788997662565e-09,-1.1102243637897996e-09,-1.1064411659745735e-09,-1.107703650833208e-09,-6.781555237726817e-10,-1.2048791731861877e-09,-1.2025477486246659e-09,-1.2013462383820041e-09,-1.2140907813649027e-09,-1.2020548201056487e-09,-1.203749146175444e-09,-1.1980838800730828e-09,-1.202977798797943e-09,-1.2010083309857515e-09,-55.293446386103966
6,-1.1048349251613647e-09,-1.1064309689774967e-09,-1.107585658693444e-09,-1.0974825606443067e-09,-1.1072446623220871e-09,-1.1058500620470172e-09,-1.1101903942817407e-09,-1.1064016981311464e-09,-1.1076781949275205e-09,-6.78155524155295e-10,-1.2048750194446233e-09,-1.2025440218632696e-09,-1.2013341751014154e-09,-1.2140753507106904e-09,-1.2020520155245942e-09,-1.2037413349266232e-09,-1.1980681591490514e-09,-1.2029742922456956e-09,-1.200995605802657e-09,-62.11096964581574
7,-1.104802833636942e-09,-1.1064022870854302e-09,-1.1075632677041825e-09,-1.097493847458849e-09,-1.1072101149343303e-09,-1.1058359774054682e-09,-1.1101898840799114e-09,-1.1063719686078036e-09,-1.1076648362050297e-09,-6.78155523577615e-10,-1.20487165084832e-09,-1.202539906088374e-09,-1.2013138264523964e-09,-1.214059735491957e-09,-1.2020504451021184e-09,-1.2037277540143222e-09,-1.1980601764416713e-09,-1.202969891075918e-09,-1.2009847233640613e-09,-51.14295729970407
8,-1.1047997797331232e-09,-1.1063983849982083e-09,-1.1075657895355106e-09,-1.097451159158729e-09,-1.1072108135835789e-09,-1.1058338330495393e-09,-1.1101551206018988e-09,-1.1063677167866481e-09,-1.1076601063452848e-09,-6.781555234981517e-10,-1.204870928512212e-09,-1.2025399585703175e-09,-1.2013237111383715e-09,-1.2140899622043829e-09,-1.2020494031273732e-09,-1.2037290775484182e-09,-1.1980783882077853e-09,-1.202969978190499e-09,-1.200985422775924e-09,-49.56868197107071
9,-1.1048125416398533e-09,-1.1064051243386393e-09,-1.107573531772757e-09,-1.0975103303504757e-09,-1.1072182960049148e-09,-1.1058408472138407e-09,-1.1101975438560784e-09,-1.1063748141348882e-09,-1.1076737821166847e-09,-6.781555229186589e-10,-1.2048708864907585e-09,-1.2025399450759541e-09,-1.2013138203546788e-09,-1.2140576483925667e-09,-1.2020496586815696e-09,-1.2037287841090363e-09,-1.1980600656255746e-09,-1.2029698908616025e-09,-1.2009884847727534e-09,-41.17635694257447
