,KE0 0 battery,KE0 1 battery,KE0 10 battery,KE0 11 battery,KE0 12 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE0 9 battery,KE1 0 battery,KE2 0 battery
0,2.7922519294216722e-05,2.7808424271696367e-05,2.8063169287873957e-05,2.8081521774133717e-05,2.829646089472531e-05,2.7928957946293986e-05,2.811573134944315e-05,2.7832278832372526e-05,2.806625997932074e-05,2.8056099123543046e-05,2.8079658510307908e-05,2.773884571872245e-05,2.8114999087229403e-05,9.049653364692843e-06,2.8253311988507493e-05
1,2.8005335049895177e-05,2.7736094624540947e-05,2.8183440673422863e-05,2.8188167665883535e-05,2.839205009852635e-05,2.8017288111153248e-05,2.818292883866923e-05,2.8071263587767315e-05,2.8312476782763053e-05,2.829288688496231e-05,2.8259295951095758e-05,2.8120873722267264e-05,2.849767775853389e-05,9.181785233650047e-06,2.8298002127902613e-05
2,2.9547470253390536e-05,2.9283857716676513e-05,2.9757782864651716e-05,2.97917092001098e-05,2.991358196479601e-05,2.9539954024536853e-05,2.9696144084582002e-05,2.9581358054735956e-05,2.9795196887564742e-05,2.979051456793142e-05,3.025323504653308e-05,2.9379550846877556e-05,2.9785893046643295e-05,511.9025201577052,2.98092278547708e-05
3,1.5231198833286906e-05,1.524242114855225e-05,1.5287013716336858e-05,1.5309367895472006e-05,1.5444369778376644e-05,1.517561761778039e-05,1.5325909036602584e-05,1.5131951861257213e-05,1.5475820137216678e-05,1.5424075384165395e-05,1.5322842459413787e-05,1.504004526771883e-05,1.5255157375034473e-05,918.3108632447551,1.5248939240862442e-05
4,2.579730528981321e-05,2.566785305144518e-05,2.5934704711341527e-05,2.596102494196457e-05,2.6064771731452705e-05,2.577872310649963e-05,2.592935327866912e-05,2.5855392944203603e-05,2.6034886034467623e-05,2.603157205231736e-05,2.6462353850589548e-05,2.5768698827394865e-05,2.602719648832302e-05,605.9919246041069,2.598199346105397e-05
5,2.721477100679104e-05,2.708339173420796e-05,2.737349676246735e-05,2.7383639348155664e-05,2.762086846460545e-05,2.7203778359616157e-05,2.7427750848003845e-05,2.731337184453278e-05,2.7608677617878574e-05,2.75895756276688e-05,2.7371175875324716e-05,2.761404056888942e-05,2.800878505611401e-05,8.972480597107698e-06,2.7507961387087008e-05
6,2.5617306742927827e-05,2.5358468547453115e-05,2.5799640911557348e-05,2.5870162993447987e-05,2.601681480528497e-05,2.5655033439856045e-05,2.5798975239662555e-05,2.553960194851092e-05,2.5839817461054225e-05,2.5750416196414063e-05,2.5735306529477487e-05,2.562488484428077e-05,2.5967692999995626e-05,8.906130377406905e-06,2.5986999008749797e-05
7,2.4403110445920676e-05,2.4325985725482587e-05,2.452518786905811e-05,2.4548107626365556e-05,2.4747654417624907e-05,2.4404738330373276e-05,2.4575975307632583e-05,2.4404367786860346e-05,2.4638190701698756e-05,2.455394558269609e-05,2.4471010861526685e-05,2.416308898364974e-05,2.4634391985790718e-05,8.915444890636489e-06,2.4699662014658772e-05
8,2.3679905909672904e-05,2.3565541871531223e-05,2.3813034911122093e-05,2.3828536066691867e-05,2.403507846556627e-05,2.3696389346560958e-05,2.384317261978247e-05,2.3562184788736927e-05,2.3777376648049703e-05,2.3765787298854257e-05,2.3790261652842338e-05,2.347439684087748e-05,2.380233827190132e-05,8.916721631096019e-06,2.3986729259545306e-05
9,2.2614088016427718e-05,2.2445190005111497e-05,2.2741613134168496e-05,2.2740892541571253e-05,2.2928678943843425e-05,2.260145509150869e-05,2.274786425936237e-05,2.276173949949838e-05,2.3008528701100614e-05,2.2980232101185314e-05,2.283211207425393e-05,2.268306828048976e-05,2.3115079023741748e-05,9.0385668463673e-06,2.2849891778998605e-05
10,2.0843826582736953e-05,2.06778581456867e-05,2.0972083746133063e-05,2.099722803868164e-05,2.1096145489642045e-05,2.083413368223906e-05,2.0964316469421745e-05,2.074120797723622e-05,2.0946389507749004e-05,2.093421040939266e-05,2.1186717822211383e-05,2.0611342870719497e-05,2.0878078674895475e-05,678.2992351584459,2.0983690616137766e-05
11,6.226873829036318e-05,6.217051658262543e-05,6.244724820165661e-05,6.246943420148905e-05,6.267824667693857e-05,6.225682728463582e-05,6.243469833627283e-05,6.225504275985145e-05,6.254114758564658e-05,6.251584189438157e-05,6.256674054288653e-05,6.210271525392565e-05,6.254608055961876e-05,882.016855509323,6.256296861461912e-05
12,2.626191072249207e-05,2.6036744911609595e-05,2.6410778722267956e-05,2.6445739258388868e-05,2.6567257517857117e-05,2.6244844556817552e-05,2.6403502759068553e-05,2.637832913759668e-05,2.6663254986490058e-05,2.6637003577403e-05,2.6736956295249127e-05,2.6095646740610824e-05,2.6494196620073712e-05,475.888582393899,2.6451901612358298e-05
13,1.4898432549225293e-06,1.4786197971948295e-06,1.495708058225832e-06,1.4957466603156623e-06,1.5044320615747653e-06,1.4898028269250288e-06,1.4963888720036912e-06,1.4937685262756363e-06,1.5016035487792137e-06,1.501819803496631e-06,1.4949390317704032e-06,1.4944068497020846e-06,1.504904566704655e-06,9.162831717395139e-06,1.5009718488679052e-06
14,3.1459648258263704e-05,3.120992326039811e-05,3.1620369060972184e-05,3.161978579239182e-05,3.184947260998326e-05,3.1475931035877855e-05,3.16458589556115e-05,3.1426608685035704e-05,3.175632045192601e-05,3.165524060411319e-05,3.1539347578666746e-05,3.161149912413e-05,3.196552906708399e-05,9.037238675185988e-06,3.178874758069177e-05
15,2.7423450895457464e-05,2.7314075429785956e-05,2.7552219498587342e-05,2.7568789440945006e-05,2.778353746816865e-05,2.7431037351362307e-05,2.7539916266182303e-05,2.7347879556071657e-05,2.7592668914268126e-05,2.7582644950811332e-05,2.7610534699592306e-05,2.72544837913137e-05,2.760060139602341e-05,9.051722687949235e-06,2.7725370124581557e-05
16,2.5324073601366697e-05,2.519982457713695e-05,2.545736788540837e-05,2.5530888604078257e-05,2.5681523551025718e-05,2.5338491696253656e-05,2.543067695885093e-05,2.5241473616592116e-05,2.545227175441313e-05,2.544298112417914e-05,2.548637296644453e-05,2.5155827143042565e-05,2.5490930696243087e-05,9.068313426045853e-06,2.5630798449629564e-05
17,2.358817635392997e-05,2.3423826612957698e-05,2.368041758573204e-05,2.3683450654927624e-05,2.3904234664616908e-05,2.3541090763742165e-05,2.370210105835462e-05,2.3789388369440257e-05,2.4032811741865436e-05,2.400327398731399e-05,2.3752476367781842e-05,2.369568748677541e-05,2.4138312239102048e-05,9.206819890886594e-06,2.379124777181619e-05
18,2.1568199168655907e-05,2.157211292745436e-05,2.1700930618220877e-05,2.1733372841014556e-05,2.1806002495642935e-05,2.156545976508308e-05,2.1638252768738854e-05,2.1460291365821906e-05,2.1674611628612716e-05,2.165785550626141e-05,2.1910278997150542e-05,2.138669155037064e-05,2.1621732327964107e-05,659.4990941115337,2.1697878998267672e-05
19,6.219338515474733e-05,6.20852855417303e-05,6.237413694720174e-05,6.239613808015758e-05,6.259933608372415e-05,6.218278765902167e-05,6.236230895093902e-05,6.217795195052767e-05,6.24532469833501e-05,6.2429450935349e-05,6.250211142187691e-05,6.202594398489262e-05,6.246416505098714e-05,889.2010369121824,6.249705028709446e-05
20,2.6359383542358446e-05,2.6204654992749954e-05,2.6524847796035075e-05,2.6557906282351035e-05,2.665561871647159e-05,2.636592975232613e-05,2.6504282068065447e-05,2.6329064752349978e-05,2.6602638937681853e-05,2.657908276857468e-05,2.6886105752418957e-05,2.6170853431945436e-05,2.6477196094968352e-05,487.5046529092693,2.6564602540111794e-05
21,1.917580135628057e-06,1.8954265223344196e-06,1.9287388417098653e-06,1.929076005797729e-06,1.946919897726476e-06,1.91764770435334e-06,1.930317198182545e-06,1.929947618623833e-06,1.9442674925344087e-06,1.9457003994054257e-06,1.9366455927281786e-06,1.9268675674976237e-06,1.9549998809885572e-06,9.236140534575328e-06,1.9372400044173333e-06
22,3.156110996088743e-05,3.128776682417325e-05,3.17267229892262e-05,3.179371408367466e-05,3.1961077157886526e-05,3.158323902434972e-05,3.1746679819772515e-05,3.158316214143115e-05,3.1917568958827005e-05,3.1812637173345566e-05,3.16323071567291e-05,3.1757991764823153e-05,3.203722163009064e-05,9.128225948681856e-06,3.189963207142011e-05
23,2.7463750076984466e-05,2.732324703686389e-05,2.75885403705239e-05,2.7664561412559194e-05,2.782653480668772e-05,2.7468542485471477e-05,2.7639606706942976e-05,2.742791769213046e-05,2.7667816806258865e-05,2.7657207163461752e-05,2.7641747760985555e-05,2.734559546225233e-05,2.7708396066429934e-05,9.150191844308352e-06,2.7759820907044e-05
24,2.523389980230889e-05,2.510481823183053e-05,2.5359366119502505e-05,2.543164421058771e-05,2.5586579343770276e-05,2.523995527012563e-05,2.533985962081164e-05,2.5173522211658066e-05,2.5399026750174455e-05,2.5387138910301023e-05,2.53525820330141e-05,2.496619775457176e-05,2.5390850845266437e-05,9.174051287435674e-06,2.5527955139580768e-05
25,2.3653022288100617e-05,2.3393428411135168e-05,2.378214174451141e-05,2.378409607950844e-05,2.398086661937158e-05,2.3641633748472245e-05,2.3784976066071712e-05,2.374463492018121e-05,2.399362810313763e-05,2.3963615938914944e-05,2.3902578198122833e-05,2.3803206300661008e-05,2.4105119289410568e-05,9.306707039856305e-06,2.3893244260549422e-05
26,2.104451921608992e-05,2.0969678188968595e-05,2.116452026140811e-05,2.1198512317469727e-05,2.127695866682233e-05,2.1028141964296495e-05,2.110417175075808e-05,2.0971550475836693e-05,2.1191897252460706e-05,2.117386720738605e-05,2.137963142065498e-05,2.0884302735584514e-05,2.112442752497095e-05,732.8659727197296,2.116167146475667e-05
27,6.226871090957584e-05,6.218344823376271e-05,6.245016209501313e-05,6.24720348688599e-05,6.267683141281424e-05,6.225856012711564e-05,6.243958868575169e-05,6.224593074804241e-05,6.253344113025508e-05,6.25077856678674e-05,6.256807707805248e-05,6.209345581237164e-05,6.253484534210202e-05,671.4603501794471,6.256417816519503e-05
28,2.646379383988468e-05,2.6355264369384966e-05,2.662764078466966e-05,2.665496474868013e-05,2.676747098834073e-05,2.645732716522665e-05,2.6606371778829154e-05,2.643877899432683e-05,2.6671392821026683e-05,2.6658379058003286e-05,2.6988762582681938e-05,2.6302917634531932e-05,2.6602215961363088e-05,624.7214712003065,2.665916825816367e-05
29,1.987338054791304e-06,1.951990123294959e-06,2.006364643356574e-06,2.0067788430971166e-06,2.0290173068541055e-06,1.989478425589913e-06,2.0077319714082236e-06,1.999064030746288e-06,2.0226457461545467e-06,2.0233005444094697e-06,2.0110071925413004e-06,2.001854685529499e-06,2.0378810722718594e-06,0.009566858881965592,2.022013278170767e-06
30,3.1439326867085165e-05,3.1127694993227724e-05,3.1603156449977324e-05,3.1671575453749866e-05,3.1835924459169476e-05,3.146105080701527e-05,3.169778553370479e-05,3.1427607664960386e-05,3.176366806922658e-05,3.165836784479431e-05,3.144464998319863e-05,3.164293023643387e-05,3.1987524843571995e-05,0.009496310495232906,3.177837093640848e-05
31,2.7326261906386687e-05,2.7168128767897388e-05,2.7453159111354588e-05,2.7531224796745168e-05,2.7688065597112076e-05,2.7335353616101697e-05,2.750291238759893e-05,2.7274483251953082e-05,2.750798378894476e-05,2.7499767476245908e-05,2.749119524673847e-05,2.716311225376273e-05,2.752897308884571e-05,0.00949809529914684,2.7628317885597047e-05
32,2.4931484067977873e-05,2.4798496852933564e-05,2.5037892544104856e-05,2.5113071300651938e-05,2.525632612830608e-05,2.4917408646079813e-05,2.5093856892035323e-05,2.4990699189048265e-05,2.522750873765214e-05,2.5150075768858413e-05,2.506496612576777e-05,2.47798199289491e-05,2.524732661860341e-05,0.009517716051148128,2.5203686715620572e-05
33,2.3457940887143783e-05,2.319055177843929e-05,2.358682844597206e-05,2.35805463075895e-05,2.378636600488319e-05,2.344461573895996e-05,2.358714257742889e-05,2.353022374162172e-05,2.3764785341640648e-05,2.3737146806027235e-05,2.3688764277928882e-05,2.3575668968555203e-05,2.3879844115395366e-05,0.009607326754404195,2.3692601238892687e-05
34,2.0993591942900987e-05,2.106993743948041e-05,2.1118154958361935e-05,2.114593060865655e-05,2.1233543657041353e-05,2.097928443990564e-05,2.1116867907293986e-05,2.091749099281207e-05,2.1142133585595834e-05,2.1126804870643923e-05,2.1405731861039642e-05,2.0802056650581356e-05,2.1058095673396167e-05,617.2676073486934,2.1118211487875725e-05
35,6.246641131304223e-05,6.238573390683268e-05,6.264692059621135e-05,6.26684455348234e-05,6.287704540994509e-05,6.245458421481996e-05,6.263499685159869e-05,6.246379927176299e-05,6.275938066693771e-05,6.2732084673893e-05,6.275285938259624e-05,6.230830275619502e-05,6.27571503873146e-05,817.8730211136296,6.276658601597728e-05
36,2.632057414796609e-05,2.616320106499751e-05,2.6482756768071777e-05,2.651281557338873e-05,2.6634804580269257e-05,2.6309663187814603e-05,2.6471924852311726e-05,2.6289222595065513e-05,2.6540689433634545e-05,2.652750866014881e-05,2.678864420255322e-05,2.613277565957202e-05,2.6458200533633396e-05,588.4024368196602,2.6530801026520442e-05
37,1.5780671693345755e-06,1.5680987511595267e-06,1.5826760331201822e-06,1.5835979124503477e-06,1.5908652187786519e-06,1.577469609787251e-06,1.5838483474933655e-06,1.5856483829591603e-06,1.5922654103180934e-06,1.5919716942617834e-06,1.5854277549727036e-06,1.5805263355106788e-06,1.5972718140569034e-06,0.010293897590146824,1.5867237470498774e-06
38,3.056622024389413e-05,3.024163182592166e-05,3.073566082605201e-05,3.080592970721878e-05,3.096671515109559e-05,3.0591456427151546e-05,3.082266751095129e-05,3.053010849743655e-05,3.087677157697777e-05,3.077580272343886e-05,3.0608460369233704e-05,3.073505959821869e-05,3.109316968137608e-05,0.010163423200594534,3.09048571686011e-05
39,2.5962644770901932e-05,2.5870578419228633e-05,2.6063377114423078e-05,2.6150689138247595e-05,2.630417616224532e-05,2.5949274296724387e-05,2.613221557011622e-05,2.5988796420659194e-05,2.62164373460627e-05,2.620518050131657e-05,2.6033885306926024e-05,2.576153569482587e-05,2.6241906532496017e-05,0.010178293472020872,2.6233057423165494e-05
40,2.3094561675524473e-05,2.310351501185309e-05,2.3217057736205192e-05,2.329067773214764e-05,2.3439248852961658e-05,2.310776230870298e-05,2.3255401414707643e-05,2.299990788129403e-05,2.3197101760388515e-05,2.3188848722640543e-05,2.3264203148627267e-05,2.2942769847752703e-05,2.3242247309675826e-05,0.010172835693730255,2.3380648579032298e-05
41,2.0219366605700777e-05,1.9994962671045803e-05,2.0349039381753356e-05,2.0353090456284817e-05,2.053226261790058e-05,2.022564729812816e-05,2.034302312890692e-05,2.0270094241523115e-05,2.046976446557742e-05,2.0447575139911658e-05,2.0484909035418638e-05,2.0299408745496146e-05,2.0580217903456532e-05,0.010273871671979117,2.0458792367654467e-05
42,1.6122410451082626e-05,1.60136037764696e-05,1.621969350261424e-05,1.6236165983635333e-05,1.632415179449683e-05,1.6098475679380218e-05,1.6220642245121333e-05,1.614217523373927e-05,1.6370974343536125e-05,1.6341670004305093e-05,1.6374525161994955e-05,1.5923485505234492e-05,1.6263526068531896e-05,676.7381732634507,1.622917154037319e-05
43,6.140025005710247e-05,6.129063901278632e-05,6.157602960896481e-05,6.159990272003066e-05,6.180388872291365e-05,6.138579785463957e-05,6.156500529571986e-05,6.138223648799199e-05,6.166036338037327e-05,6.16383375649744e-05,6.171357077974994e-05,6.123064500075805e-05,6.166099778092757e-05,876.0474214169672,6.169424452585574e-05
44,6.157232405846143e-05,6.146612668039419e-05,6.175695037091464e-05,6.177576066032219e-05,6.19767786999483e-05,6.156215720607257e-05,6.172947277404545e-05,6.157644868162477e-05,6.186395062416283e-05,6.18395480920414e-05,6.194421094799516e-05,6.142659686103793e-05,6.186269110290281e-05,477.4527638390155,6.187198519492043e-05
45,1.5533028670929023e-05,1.54456752269837e-05,1.561520040616179e-05,1.5617427454980947e-05,1.574346402608109e-05,1.552403199781867e-05,1.5656469898254205e-05,1.5543146523688382e-05,1.5717948439673267e-05,1.5703583721866357e-05,1.5627902938583675e-05,1.5778515588318808e-05,1.593356533058909e-05,8.843488331126602e-06,1.569194809337667e-05
46,1.9296010455564738e-05,1.9107938435297615e-05,1.9392869267265353e-05,1.9403758473819606e-05,1.9568900391234e-05,1.9295009114227118e-05,1.9455277138843056e-05,1.929345386598526e-05,1.9492395287372705e-05,1.9480176344357536e-05,1.9403207667386512e-05,1.927458415858684e-05,1.950707875166195e-05,9.200947240932524e-06,1.9519787059837748e-05
47,2.1736310989461617e-05,2.16175071046229e-05,2.1849232030865428e-05,2.1869152551392078e-05,2.2046331887712956e-05,2.1754802906222027e-05,2.188810735557522e-05,2.1660366970887305e-05,2.1854529240626263e-05,2.1838051155710456e-05,2.186491881292318e-05,2.1542238718140607e-05,2.1822826612888753e-05,8.803979405145039e-06,2.2001231266450165e-05
48,2.3438451560747624e-05,2.3303074887948477e-05,2.3557461831189514e-05,2.357498172940481e-05,2.3769290728661437e-05,2.3450540867980212e-05,2.3601134444864113e-05,2.3367255507447467e-05,2.3576858971177734e-05,2.3569374082247096e-05,2.3559887787323026e-05,2.327667695281688e-05,2.3578633036991726e-05,8.813674240946063e-06,2.3725752763458176e-05
49,2.504593715707943e-05,2.483512812140408e-05,2.5195280514016423e-05,2.51974212023783e-05,2.5391001937278335e-05,2.5055808659414824e-05,2.519808362635043e-05,2.5134399055027446e-05,2.536912764751034e-05,2.5342770641160392e-05,2.529967787069821e-05,2.521093656263476e-05,2.551835683793485e-05,8.923768851925592e-06,2.5313487762245805e-05
50,2.7241120628230948e-05,2.7013490762779062e-05,2.7406006151482588e-05,2.736046677368365e-05,2.7561392488000968e-05,2.722616832438648e-05,2.737695465368795e-05,2.71835189363884e-05,2.741556205958052e-05,2.740666899246839e-05,2.772333270525096e-05,2.699305809617359e-05,2.7353570671975787e-05,656.3782775418327,2.742608031547331e-05
51,2.955687307081298e-05,2.9504005791627405e-05,2.9614011573766662e-05,2.963220025965666e-05,2.9840938997086845e-05,2.9456243965172778e-05,2.9678434849118427e-05,2.9600735547857453e-05,2.9966269216649462e-05,2.990856495392859e-05,2.9696168725861507e-05,2.9461486265131183e-05,2.981363153469082e-05,825.1623823155742,2.960227960403037e-05
