name,carrier,bus,p_nom,max_hours,p_min_pu,efficiency_dispatch,efficiency_store,cyclic_state_of_charge,p_nom_extendable,capital_cost,marginal_cost,p_nom_opt
1 hydro,hydro,KE0 4,94.0,2500.432069786201,0.0,0.9,0.0,True,False,0.0,0.009920077467375985,94.0
2 hydro,hydro,KE0 4,168.0,2500.432069786201,0.0,0.9,0.0,True,False,0.0,0.010792630954124482,168.0
3 hydro,hydro,KE0 4,72.0,2500.432069786201,0.0,0.9,0.0,True,False,0.0,0.009380257209363606,72.0
4 hydro,hydro,KE0 11,103.0,2500.432069786201,0.0,0.9,0.0,True,False,0.0,0.00941240930980738,103.0
5 hydro,hydro,KE0 4,40.0,2500.432069786201,0.0,0.9,0.0,True,False,0.0,0.010033682620371806,40.0
KE0 0 battery,battery,KE0 0,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.009138502810520331,6.496787306014309e-05
KE0 1 battery,battery,KE0 1,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.01051664063156824,6.484147166759609e-05
KE0 10 battery,battery,KE0 10,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.010608893260563735,6.516038972791214e-05
KE0 11 battery,battery,KE0 11,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.010784297873280505,6.517749458872584e-05
KE0 12 battery,battery,KE0 12,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.00910228999189938,6.538556280615502e-05
KE0 2 battery,battery,KE0 2,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.009692680682985616,6.496197967261963e-05
KE0 3 battery,battery,KE0 3,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.01026030450633768,6.514186767973463e-05
KE0 4 battery,battery,KE0 4,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.010988884892469955,6.496689317885023e-05
KE0 5 battery,battery,KE0 5,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.00917766700484962,6.525644278077342e-05
KE0 6 battery,battery,KE0 6,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.009382026388508453,6.522990913405944e-05
KE0 7 battery,battery,KE0 7,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.010043642552691702,6.527242720376272e-05
KE0 8 battery,battery,KE0 8,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.010449281342618034,6.482219225548262e-05
KE0 9 battery,battery,KE0 9,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.009100163118941776,6.52676489027901e-05
KE1 0 battery,battery,KE1 0,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.010217168475384817,977.3701743787688
KE2 0 battery,battery,KE2 0,0.0,6.0,-1.0,0.96,0.96,True,True,173109.64178726997,0.010852488627174259,6.52797320559153e-05
