,KE0 0 battery,KE0 1 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE1 0 battery
0,62887438.765166365,62914386.88033966,62913635.143358596,62894981.13902404,62940372.43635408,62920064.608687334,62923650.59396464,62909555.4114705,62887428.93820096,63067317.90734255
1,62887438.76516637,62914386.88033966,62913635.143358596,62894981.13902404,62940372.43635408,62920064.60868733,62923650.593964644,62909555.41147051,62887428.93820096,63067184.89920276
2,62887438.76516637,62914386.88033966,62913635.1433586,62894981.13902404,62940372.43635407,62920064.60868733,62923650.593964644,62909555.41147051,62887428.93820095,63067463.11569912
3,62887438.765166365,62914386.88033965,62913635.143358596,62894981.13902404,62940372.43635406,62920064.60868733,62923650.59396462,62909555.41147051,62887428.93820094,63067772.654289864
4,62887438.765166365,62914386.88033965,62913635.143358596,62894981.139024034,62940372.43635406,62920064.60868733,62923650.593964614,62909555.41147051,62887428.93820094,63068078.90560785
5,62887438.76516637,62914386.88033965,62913635.143358596,62894981.13902404,62940372.43635406,62920064.608687334,62923650.59396462,62909555.41147052,62887428.938200936,63067906.11358789
6,62887438.765166365,62914386.88033964,62913635.14335861,62894981.13902404,62940372.43635406,62920064.608687334,62923650.59396462,62909555.41147052,62887428.938200936,63067712.01680776
7,62887438.76516636,62914386.880339645,62913635.1433586,62894981.13902405,62940372.43635407,62920064.60868734,62923650.59396462,62909555.41147052,62887428.938200936,63067552.19506619
8,62887438.76516636,62914386.88033964,62913635.143358596,62894981.13902405,62940372.43635407,62920064.60868735,62923650.59396462,62909555.41147052,62887428.938200936,63067397.292935036
9,62887438.765166365,62914386.88033963,62913635.1433586,62894981.13902406,62940372.43635406,62920064.60868734,62923650.593964614,62909555.411470525,62887428.93820094,63067268.61681959
10,62887438.76516635,62914386.88033964,62913635.1433586,62894981.13902406,62940372.43635407,62920064.60868734,62923650.593964614,62909555.411470525,62887428.93820094,63067578.155410334
11,62887438.76516636,62914386.88033963,62913635.14335862,62894981.139024064,62940372.43635408,62920064.60868735,62923650.593964614,62909555.41147053,62887428.93820095,63067887.69400107
12,62887438.765166365,62914386.88033963,62913635.14335862,62894981.13902407,62940372.43635406,62920064.60868734,62923650.59396462,62909555.41147053,62887428.93820095,63068155.67979019
13,62887438.76516635,62914386.88033962,62913635.14335862,62894981.139024064,62940372.43635406,62920064.608687334,62923650.593964614,62909555.411470525,62887428.93820094,63067981.89119705
14,62887438.76516635,62914386.88033962,62913635.1433586,62894981.139024064,62940372.436354056,62920064.608687334,62923650.593964614,62909555.411470525,62887428.93820094,63067787.77888098
15,62887438.76516635,62914386.88033962,62913635.14335861,62894981.139024064,62940372.436354056,62920064.60868734,62923650.593964614,62909555.411470525,62887428.93820095,63067629.27700116
16,62887438.76516634,62914386.88033962,62913635.1433586,62894981.139024064,62940372.43635406,62920064.60868734,62923650.59396462,62909555.411470525,62887428.93820095,63067474.67744096
17,62887438.76516634,62914386.88033962,62913635.1433586,62894981.13902407,62940372.43635406,62920064.60868735,62923650.59396462,62909555.411470525,62887428.93820095,63067338.02669092
18,62887438.76516634,62914386.88033963,62913635.1433586,62894981.13902407,62940372.436354056,62920064.60868735,62923650.59396462,62909555.41147053,62887428.93820095,63067647.56528167
19,62887438.765166335,62914386.88033964,62913635.14335861,62894981.13902409,62940372.43635406,62920064.60868735,62923650.59396463,62909555.41147053,62887428.93820096,63067957.1038724
20,62887438.76516634,62914386.88033964,62913635.14335861,62894981.13902409,62940372.43635406,62920064.60868734,62923650.59396463,62909555.41147054,62887428.93820096,63068203.572091766
21,62887438.76516633,62914386.88033963,62913635.14335861,62894981.13902408,62940372.436354056,62920064.60868734,62923650.59396462,62909555.41147053,62887428.93820095,63068040.23242848
22,62887438.765166335,62914386.880339615,62913635.1433586,62894981.13902408,62940372.436354056,62920064.60868734,62923650.593964614,62909555.41147053,62887428.93820095,63067846.169165604
23,62887438.76516633,62914386.880339615,62913635.14335861,62894981.13902408,62940372.436354056,62920064.60868733,62923650.59396461,62909555.41147054,62887428.93820095,63067688.15361021
24,62887438.765166335,62914386.880339615,62913635.14335861,62894981.13902409,62940372.436354056,62920064.60868733,62923650.593964614,62909555.41147054,62887428.93820095,63067533.49549893
25,62887438.765166335,62914386.880339615,62913635.14335861,62894981.13902409,62940372.436354056,62920064.60868733,62923650.59396461,62909555.41147055,62887428.93820095,63067410.31348661
26,62887438.765166335,62914386.880339615,62913635.14335862,62894981.13902409,62940372.436354056,62920064.60868733,62923650.5939646,62909555.41147055,62887428.93820095,63067719.85207735
27,62887438.76516634,62914386.88033963,62913635.143358625,62894981.1390241,62940372.43635406,62920064.608687334,62923650.59396461,62909555.411470555,62887428.93820096,63068029.390668094
28,62887438.765166335,62914386.88033962,62913635.14335863,62894981.1390241,62940372.43635405,62920064.608687334,62923650.5939646,62909555.411470555,62887428.93820095,63068322.42950574
29,62887438.76516633,62914386.88033962,62913635.143358625,62894981.139024094,62940372.43635404,62920064.60868733,62923650.5939646,62909555.41147055,62887428.93820094,63068161.94626199
30,62887438.76516633,62914386.88033962,62913635.14335862,62894981.139024094,62940372.43635404,62920064.60868732,62923650.59396459,62909555.41147055,62887428.93820094,63067967.7283812
31,62887438.765166335,62914386.88033963,62913635.143358625,62894981.139024094,62940372.43635404,62920064.60868731,62923650.593964584,62909555.41147055,62887428.93820094,63067815.26918157
32,62887438.76516633,62914386.88033963,62913635.143358625,62894981.1390241,62940372.43635405,62920064.60868732,62923650.59396459,62909555.41147053,62887428.93820095,63067665.109271094
33,62887438.76516633,62914386.88033963,62913635.14335863,62894981.1390241,62940372.43635405,62920064.60868732,62923650.59396459,62909555.41147053,62887428.93820095,63067545.81577197
34,62887438.76516633,62914386.88033964,62913635.14335863,62894981.13902411,62940372.43635405,62920064.60868732,62923650.59396459,62909555.41147054,62887428.93820095,63067855.35436271
35,62887438.765166335,62914386.88033964,62913635.14335864,62894981.139024116,62940372.436354056,62920064.60868733,62923650.59396461,62909555.41147053,62887428.93820096,63068164.89295345
36,62887438.765166335,62914386.880339645,62913635.14335864,62894981.139024116,62940372.436354056,62920064.60868733,62923650.59396461,62909555.411470525,62887428.938200966,63068474.43154419
37,62887438.76516633,62914386.88033964,62913635.143358625,62894981.13902411,62940372.43635404,62920064.60868733,62923650.59396459,62909555.41147052,62887428.93820096,63068314.28702573
38,62887438.765166335,62914386.880339645,62913635.14335862,62894981.139024116,62940372.43635403,62920064.60868732,62923650.59396458,62909555.41147052,62887428.93820095,63068124.66346232
39,62887438.765166335,62914386.88033964,62913635.143358625,62894981.13902411,62940372.43635403,62920064.60868732,62923650.59396458,62909555.41147052,62887428.93820095,63067971.462475024
40,62887438.765166335,62914386.880339645,62913635.14335862,62894981.139024116,62940372.43635403,62920064.60868732,62923650.593964584,62909555.411470525,62887428.93820096,63067821.30256455
41,62887438.76516633,62914386.88033965,62913635.14335861,62894981.13902411,62940372.43635403,62920064.60868732,62923650.593964584,62909555.411470525,62887428.93820096,63067693.182376884
