,KE0 0 battery,KE0 1 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE1 0 battery
0,1.5027124084122457e-10,1.4624602397472551e-10,1.4380632576570725e-10,1.6720952745790302e-10,1.4492071937681997e-10,1.480437136878055e-10,1.378312493189267e-10,1.4672455650220777e-10,1.4336035054041727e-10,51.55270375913934
1,1.5026936788073517e-10,1.4624594770177725e-10,1.4380375691420692e-10,1.6719692244773696e-10,1.4492014609894737e-10,1.4804162148399016e-10,1.3782691302029762e-10,1.467243357375964e-10,1.4335520741617518e-10,44.336046599849645
2,1.503379778672846e-10,1.4631166884937407e-10,1.4385864695867396e-10,1.672901822328646e-10,1.4497399543809706e-10,1.4811520009374275e-10,1.3786355690949805e-10,1.467884167202798e-10,1.4340878573923383e-10,-92.73883212120825
3,1.6870743423194748e-10,1.644612482747236e-10,1.6103261653088568e-10,1.8838571345392483e-10,1.6253100330763012e-10,1.6553656060705566e-10,1.555916538524845e-10,1.6478031945469452e-10,1.6070090057550135e-10,-103.17953024786634
4,1.5073859449537835e-10,1.4672346044215057e-10,1.4431340501040269e-10,1.6781002037370112e-10,1.4537270272313557e-10,1.4849352588109858e-10,1.3834742712959453e-10,1.4719492201044385e-10,1.4377224491881738e-10,-102.08377266254199
5,1.5020467986465063e-10,1.4618343356346552e-10,1.4379131571830208e-10,1.6713764604746425e-10,1.4485847560799035e-10,1.4802646083316434e-10,1.377796779529951e-10,1.4666070777328381e-10,1.4334669394361652e-10,57.59733998484681
6,1.502432200934513e-10,1.4621905379674251e-10,1.43804107037197e-10,1.6717926301266236e-10,1.448928538493652e-10,1.480471618348819e-10,1.3779727149852114e-10,1.466965229581198e-10,1.4335889445024723e-10,64.69892671371325
7,1.5027180266339118e-10,1.462434484232928e-10,1.4380530151706382e-10,1.67151710345273e-10,1.449257653803764e-10,1.4804709969278411e-10,1.3778946638016304e-10,1.4672166792961085e-10,1.4336091729920088e-10,53.273913853180254
8,1.502741041337644e-10,1.462474051792057e-10,1.4381307623362645e-10,1.6722588480416998e-10,1.4492398134076827e-10,1.4805062273006307e-10,1.3784320044787756e-10,1.4672601049512155e-10,1.4336637571296928e-10,51.63404371918717
9,1.5026129845468688e-10,1.4624065178214626e-10,1.437950310967001e-10,1.6713305339178127e-10,1.4491676512172016e-10,1.4804330289973898e-10,1.377816911705619e-10,1.4671882217928095e-10,1.433558895216002e-10,42.89203848117025
10,1.5054549438301462e-10,1.4649036876616558e-10,1.440949216463672e-10,1.6766038064558e-10,1.451739452251986e-10,1.4832283782286497e-10,1.381515598086056e-10,1.4696208017835714e-10,1.4360685252512982e-10,-103.17953024786634
11,-2.6304477521943835e-09,-2.630254656362289e-09,-2.63040498441093e-09,-2.6305338899275983e-09,-2.6305339706453644e-09,-2.6305418251530376e-09,-2.6303884077185745e-09,-2.6304621335943775e-09,-2.6303039359594366e-09,-103.17953024786634
12,1.5039650173277664e-10,1.4636258507269236e-10,1.4394097002756414e-10,1.674631455480235e-10,1.4503656799846422e-10,1.481676726704737e-10,1.380194148433116e-10,1.4684344116041642e-10,1.4348071293701133e-10,-89.32859637420847
13,3.041300967694411e-09,3.041007515969085e-09,3.041118413076481e-09,3.0417465308461803e-09,3.041283053474792e-09,3.041355339875765e-09,3.0409760662756963e-09,3.041242684735364e-09,3.040999461708323e-09,57.92953104967603
14,1.5027149805894108e-10,1.4624068534670733e-10,1.4382580574162567e-10,1.6722183828106564e-10,1.4491598955484166e-10,1.480665025687519e-10,1.3782724096572968e-10,1.4671768579837696e-10,1.4337895325679541e-10,64.70410535457052
15,1.5027586775530813e-10,1.4624888860018417e-10,1.4381397820781734e-10,1.671986321935528e-10,1.449252156126194e-10,1.4805193723429544e-10,1.3781750206702785e-10,1.467274032978729e-10,1.4336553685531003e-10,52.83395994270641
16,1.50282677891432e-10,1.4625484403620716e-10,1.4382004596174917e-10,1.6719800215020822e-10,1.4493182628260227e-10,1.4805627556754108e-10,1.3782147638143867e-10,1.4673360772265465e-10,1.4337029283607077e-10,51.53318673107081
17,1.5028517882997695e-10,1.462574283329945e-10,1.438138686836343e-10,1.67220801926307e-10,1.4493712123038495e-10,1.4805295476127397e-10,1.3784354465860187e-10,1.467343255007345e-10,1.4336393584980138e-10,45.5502500149604
18,1.5044862603709073e-10,1.4640867408200396e-10,1.4392946181593836e-10,1.673858055868834e-10,1.4508378422706908e-10,1.4819095844802245e-10,1.379549684825826e-10,1.4687954256974807e-10,1.4350002971623373e-10,-103.17953024786632
19,-2.6304471530124326e-09,-2.6302539677575773e-09,-2.6304042041436802e-09,-2.6305334780383468e-09,-2.630533266780309e-09,-2.630541269639565e-09,-2.630388045454156e-09,-2.630461454496596e-09,-2.630303169815436e-09,-103.17953024786634
20,1.5040943693547108e-10,1.463821579864122e-10,1.4397996318547603e-10,1.6740688674422967e-10,1.4504639789939605e-10,1.4818300229436816e-10,1.379872401280831e-10,1.468673094876602e-10,1.434972291625384e-10,-82.15607311979745
21,3.0413016032758527e-09,3.041008147389598e-09,3.0411190651113855e-09,3.041747175638263e-09,3.0412836849711345e-09,3.0413559561402803e-09,3.040976699834988e-09,3.0412433154865333e-09,3.041000073038501e-09,54.446554424999434
22,1.5028500988549918e-10,1.4626365813127992e-10,1.4381170008659513e-10,1.671883076219755e-10,1.4493793652533875e-10,1.48066269261275e-10,1.3780958108259388e-10,1.4674162801246684e-10,1.4337381241854305e-10,64.68775429161226
23,1.5028281963290156e-10,1.4626007356430324e-10,1.4381099432504288e-10,1.6717528974996372e-10,1.449336038858401e-10,1.4805882545874552e-10,1.378092304767183e-10,1.4673861796256306e-10,1.4336953629508028e-10,52.671851800385134
24,1.503693617310235e-10,1.462691350876333e-10,1.4382594494089685e-10,1.672465175455715e-10,1.4494077986909482e-10,1.4806484526936204e-10,1.3785608751228443e-10,1.4674753677596175e-10,1.4337474416211715e-10,51.5527037586409
25,1.5028676027909006e-10,1.4626484685554772e-10,1.4382222866022325e-10,1.672341514815749e-10,1.4494094549488716e-10,1.4805966523393088e-10,1.3785525819718545e-10,1.4674401312443501e-10,1.4336945967652292e-10,41.060670774939055
26,1.505329553188309e-10,1.4647662658205308e-10,1.439981261225897e-10,1.6751832103126573e-10,1.4514470162156354e-10,1.482577027733252e-10,1.38035838775467e-10,1.4694672239600295e-10,1.4356270627156274e-10,-103.17953024786634
27,-2.6304467777976555e-09,-2.630253611406626e-09,-2.6304040898698296e-09,-2.630533184637561e-09,-2.6305329231471098e-09,-2.6305410236443e-09,-2.6303874599141952e-09,-2.6304610271338616e-09,-2.630303035299836e-09,-103.17953024786634
28,1.504498901036949e-10,1.4640588159591343e-10,1.4400729942122314e-10,1.674394021370112e-10,1.4508411471944568e-10,1.4820349105280405e-10,1.3799925213110357e-10,1.4689576141079036e-10,1.4351680133397406e-10,-97.67961254901543
29,3.0413012696328488e-09,3.0410078151220297e-09,3.041118746280104e-09,3.041746841909864e-09,3.041283358065538e-09,3.0413556451242395e-09,3.0409763833284614e-09,3.041242984460302e-09,3.040999767588884e-09,53.49441458311549
30,1.502981724683695e-10,1.4627720902620453e-10,1.4382356451981306e-10,1.6721100947121428e-10,1.4494927649599272e-10,1.4809775344799903e-10,1.3782279163178216e-10,1.467551273772533e-10,1.4340331196057377e-10,64.739293595557
31,1.5028470686152364e-10,1.4626362175648274e-10,1.4381777791590528e-10,1.6716550233426312e-10,1.4493766965099314e-10,1.480641855498728e-10,1.37800627809293e-10,1.467428852216211e-10,1.4337249644390346e-10,50.819733210861095
32,1.5029903858359305e-10,1.4627708528582252e-10,1.4382696294917786e-10,1.6718201975534266e-10,1.449517138991842e-10,1.4807254249826043e-10,1.3781607160821955e-10,1.4675623481399055e-10,1.433806917341109e-10,50.05330349387433
33,1.502903102400797e-10,1.462710925279734e-10,1.4381452646930225e-10,1.6716438587343703e-10,1.4494267426260068e-10,1.4806680628544635e-10,1.3780757594311682e-10,1.46750271336512e-10,1.4337535145729324e-10,39.76449970919359
34,1.5061017112941038e-10,1.4655883173944246e-10,1.4409886530452691e-10,1.6756616192606082e-10,1.4523314718872194e-10,1.4833201806224747e-10,1.3809473380537168e-10,1.4703981323800236e-10,1.4362809147804935e-10,-103.17953024786634
35,-2.6304466239593786e-09,-2.6302534755423637e-09,-2.6304041764144065e-09,-2.6305331240132635e-09,-2.6305328673143983e-09,-2.6305409361281925e-09,-2.6303877157558503e-09,-2.6304609464979546e-09,-2.6303031539216274e-09,-103.17953024786634
36,1.5060798021524755e-10,1.4654111804576514e-10,1.4409214721893371e-10,1.6762094487245088e-10,1.4521714557932984e-10,1.4833956763321466e-10,1.3810651643348595e-10,1.470278054382375e-10,1.4363809339779585e-10,-103.17953024786634
37,3.0413012686327005e-09,3.041007818334119e-09,3.041118730740177e-09,3.0417468624271314e-09,3.0412833600116634e-09,3.041355646437851e-09,3.0409764015668758e-09,3.0412429873760508e-09,3.040999767986685e-09,53.3815061559702
38,1.5029537880655445e-10,1.462810679010952e-10,1.4385626423271426e-10,1.6721162642581658e-10,1.4494991311945713e-10,1.4807952914441167e-10,1.3784223003564158e-10,1.4675857636729438e-10,1.4339340674455062e-10,63.20785446840104
39,1.50302749313576e-10,1.4628006036547124e-10,1.4382268993905893e-10,1.6717920461841715e-10,1.44954702702542e-10,1.4807226964385332e-10,1.3781251919991516e-10,1.4675963305921688e-10,1.433798551480778e-10,51.06699576432062
40,1.5031334417604206e-10,1.4629073617197657e-10,1.4383044224927738e-10,1.6718648140502888e-10,1.4496363048857394e-10,1.480781703555494e-10,1.3782152416153428e-10,1.4677022515660635e-10,1.4338546998248336e-10,50.05330349385481
41,1.5030488790709683e-10,1.4628593311775373e-10,1.4382213562784386e-10,1.6717254939555735e-10,1.449584705872396e-10,1.480733473743173e-10,1.3781400593840633e-10,1.4676545295320343e-10,1.4338114852006297e-10,42.706729220747086
42,1.505658469766786e-10,1.4652217457158237e-10,1.4407506555928537e-10,1.6759031304524492e-10,1.452085271794198e-10,1.4827389550717507e-10,1.3811168266209602e-10,1.47004197668824e-10,1.4355379515022203e-10,-103.17953024786634
43,-2.6304463436857724e-09,-2.630253569294677e-09,-2.6304034971848593e-09,-2.6305321694535425e-09,-2.6305329371672607e-09,-2.630540796273857e-09,-2.630386891917788e-09,-2.630461040898591e-09,-2.6303027913484683e-09,-103.17953024786634
44,-2.6304475227014832e-09,-2.630254040625308e-09,-2.630404401140463e-09,-2.6305352729606003e-09,-2.63053327684085e-09,-2.6305412877310345e-09,-2.6303878424164245e-09,-2.6304614897859106e-09,-2.630303317844679e-09,-100.17286634015925
45,1.691782634228427e-09,1.6895304858646912e-09,1.688470956208366e-09,1.7004185554826552e-09,1.6891529643908119e-09,1.6907199476402234e-09,1.6854158513454778e-09,1.6899929921051699e-09,1.688070599197675e-09,60.07751119820245
46,1.503060387777993e-10,1.462863149581688e-10,1.4384052288635186e-10,1.6727403342604328e-10,1.4495620668746337e-10,1.4807472976187565e-10,1.3787153508123304e-10,1.4676556946242402e-10,1.4338014537655257e-10,62.997101094928354
47,1.503073473120936e-10,1.4628761595779196e-10,1.4382455901489062e-10,1.671777209941948e-10,1.449594333884023e-10,1.4807569066535637e-10,1.3781205657796998e-10,1.4676730335377615e-10,1.4338120354497696e-10,52.60611626205237
