name,bus,carrier,e_cyclic,e_nom_extendable,marginal_cost,e_nom_opt
KE0 0 battery,KE0 0 battery,battery,True,True,0.009920077467375985,62887438.76516706
KE0 1 battery,KE0 1 battery,battery,True,True,0.010792630954124482,62914386.88034048
KE0 2 battery,KE0 2 battery,battery,True,True,0.009380257209363606,62913635.143359184
KE0 3 battery,KE0 3 battery,battery,True,True,0.00941240930980738,62894981.139024444
KE0 4 battery,KE0 4 battery,battery,True,True,0.010033682620371806,62940372.43635457
KE0 5 battery,KE0 5 battery,battery,True,True,0.009138502810520331,62920064.608688004
KE0 6 battery,KE0 6 battery,battery,True,True,0.01051664063156824,62923650.593965374
KE0 7 battery,KE0 7 battery,battery,True,True,0.010608893260563735,62909555.41147122
KE0 8 battery,KE0 8 battery,battery,True,True,0.010784297873280505,62887428.93820158
KE1 0 battery,KE1 0 battery,battery,True,True,0.00910228999189938,63076144.77671936
